Product Name,Price,Ratings
"HP Pavilion 2019 15.6 HD LED Laptop Notebook Computer PC, Intel I5-8265U, 8GB DDR4 RAM, 256GB PCIe Nvme SSD, USB 3.1, USB-C, Bluetooth, Webcam, Wi-Fi, Fast Charging, Windows 10 Home, Gold",$457.00,4.3 out of 5 stars
"HP Chromebook 15-Inch Laptop, Micro-Edge Touchscreen, Dual-Core Intel Pentium Gold 4417U Gold Processor, 4 GB SDRAM, 64 GB eMMC Storage, Chrome OS (15-de0010nr, Ceramic White/Mineral Silver)",$0,4.2 out of 5 stars
"CHUWI HeroBook Laptop Computer Windows 10 PC, 14.1"" 1080P Display, Intel Atom X5-E8000 Quad Core, 4GB RAM/64GB eMMC and Extra 256GB SSD, 1TB M.2 SSD Slot, Thin and Lightweight",$229.99,3.5 out of 5 stars
"Bit CORE+ 10.1 Windows 10, 2 in 1 Detachable PC - with Bonus Full Function Bit Smart Watch (W10046APB+S1CG)",$219.99,1.0 out of 5 stars
"ASUS VivoBook 15 Thin and Light Laptop, 15.6” FHD, Intel Core i3-8145U CPU, 8GB RAM, 128GB SSD, Windows 10 in S Mode, F512FA-AB34, Slate Gray",$379.99,4.2 out of 5 stars
"LG gram Laptop - 15.6"" Full HD Display, Intel 8th Gen Core I5, 8GB RAM, 256GB SSD, 21.5 HRs Battery - 15Z990-U.AAS5U1 (2019), Dark Silver",$946.99,4.3 out of 5 stars
"ASUS VivoBook F510UA Thin and Lightweight 15.6” FHD WideView NanoEdge Laptop, Intel Core i5-7200U 2.5GHz, 8GB DDR4 RAM, 1TB HDD, USB Type-C, Fingerprint Reader, Windows 10 – F510UA-AH50",$499.00,3.4 out of 5 stars
"HP Chromebook 14-inch Laptop with 180-Degree Swivel, AMD Dual-Core A4-9120 Processor, 4 GB SDRAM, 32 GB eMMC Storage, Chrome OS (14-db0020nr, Chalkboard Gray)",$184.99,4.0 out of 5 stars
"Newest HP 14"" HD Premium Business Laptop PC | 10th Gen Intel Quad-Core i5-1035G1 up to 3.6GHz | 8GB RAM | 256GB SSD | WiFi | HDMI | Card Reader | Bluetooth | Windows 10 | Silver",$449.99,-1
"Newest Dell Inspiron 5000 15.6"" FHD Touchscreen Premium Home & Business Laptop, Intel Quad Core i5-8265U Upto 3.9GHz, 16GB RAM, 256GB PCIe SSD by 16GB Optane + 500GB HDD, Backlit Keyboard, Windows 10",$605.50,4.7 out of 5 stars
"2019 Newest HP Pavilion 15 15.6"" HD Touchscreen Business Laptop Intel Quad-Core i5-8250U, 16GB DDR4, 512GB SSD, Type-C, HDMI, WiFi AC, UHD, Windows 10",$657.88,3.8 out of 5 stars
"Newest Flagship 2019 HP 14 14"" Micro-Edge Touchscreen Laptop Computer PC, AMD Ryzen 3 3200U 2.6GHz /Radeon Vega 3, 8GB RAM 256GB SSD, USB Type-C HDMI BT RJ-45 WiFi HD Webcam Win 10-Accessory Bundle",$329.00,-1
"2017 HP 17.3"" Business Flagship Laptop PC HD+ WLED-backlit Display Intel i3-7100U Processor 8GB DDR4 RAM 1TB HDD Intel 520 Graphics DVD-RW 802.11AC Wifi Webcam HDMI Windows 10-Silver",$429.00,3.9 out of 5 stars
"Newest HP 15.6 inch HD Touchscreen Flagship Premium Laptop PC, Intel Core i5-7200U Dual-Core, 8GB RAM, 2TB HDD, Bluetooth, WiFi, Stereo Speakers, Windows 10 Home",$544.00,4.0 out of 5 stars
"Beantech W11046ADB Laptop (Windows 10 Home, Intel Cherry Trail z8300, 11.6"" LCD Screen, Storage: 64 GB, RAM: 4 GB) Black",$219.99,2.2 out of 5 stars
"Acer Chromebook R 11 Convertible Laptop, Celeron N3060, 11.6"" HD Touch, 4GB DDR3L, 32GB eMMC, C738T-C7KD",$209.99,3.9 out of 5 stars
"2019_Dell Inspiron 15.6"" Touchscreen Performance Laptop, Intel Core i5-8265U Processor, 12GB RAM, 256GB SSD, Webcam, Wireless+Bluetooth, HDMI, Backlit Keyboard, Fingerprint Reader, Windows 10",$599.00,-1
"HP 15.6"" FHD Home and Business Laptop Core i7-1065G7, 32GB RAM, 1TB SSD, Intel Iris Plus Graphics, 4 Core up to 3.90 GHz, USB-C, HDMI 1.4 4K Output, Keypad, Webcam, 1920x1080, Win 10",$824.99,-1
"XIDU 11.6"" PhilBook Pro 2 in 1 Convertible Touchscreen Laptop, Intel J3355 Processor, 6GB RAM 128GB SSD, 2K (2560X1440) IPS Notebook with Metal Body, Windows 10 Home, Star Gray",$339.99,4.2 out of 5 stars
"Latest HP 14 Premium Thin & Light Touchscreen Laptop Computer PC 14"" HD Micro-Edge Display AMD Ryzen 3 3200U /Radeon Vega 3, 8GB RAM 128GB SSD USB-Type C HDMI RJ-45 WiFi Webcam Win 10-Accessory Bundle",$308.20,-1
"Lenovo Flex 11 2-in-1 Convertible Laptop, 11.6 Inch HD Touchscreen Display, Intel Pentium Silver N5000 Processor, 4GB DDR4, 64 GB eMMC, Windows 10 in S mode, 81A70006US, Mineral Gray",$283.41,4.2 out of 5 stars
"MSI GF63 Thin 9SCX-615 15.6"" Gaming Laptop, Intel Core i5-9300H, NVIDIA GTX 1050Ti, 8GB, 512GB NVMe SSD, Win10",$629.00,4.0 out of 5 stars
"Acer Swift 5 Ultra-Thin & Lightweight Laptop 15.6” FHD IPS Touch Display in a thin .23"" bezel, 8th Gen Intel Core i5-8265U, 8GB DDR4, 256GB PCIe NVMe SSD, Back-lit Keyboard, Windows 10, SF515-51T-507P",$746.95,4.0 out of 5 stars
"HP Stream 14-Inch Touchscreen Laptop, AMD Dual-Core A4-9120E Processor, 4 GB SDRAM, 64 GB eMMC, Windows 10 Home in S Mode with Office 365 Personal for One Year (14-ds0120nr, Rose Pink)",$287.31,3.8 out of 5 stars
"CHUWI HeroBook Laptop Computer Windows 10 PC, 14.1"" 1080P Display, Intel Atom X5-E8000 Quad Core, 4GB RAM/64GB eMMC and Extra 256GB SSD, 1TB M.2 SSD Slot, Thin and Lightweight",$229.99,3.5 out of 5 stars
"Bit CORE+ 10.1 Windows 10, 2 in 1 Detachable PC - with Bonus Full Function Bit Smart Watch (W10046APB+S1CG)",$219.99,1.0 out of 5 stars
"CHUWI HeroBook Laptop Computer Windows 10 PC, 14.1"" 1080P Display, Intel Atom X5-E8000 Quad Core, 4GB RAM/64GB eMMC and Extra 256GB SSD, 1TB M.2 SSD Slot, Thin and Lightweight",$229.99,3.5 out of 5 stars
"Bit CORE+ 10.1 Windows 10, 2 in 1 Detachable PC - with Bonus Full Function Bit Smart Watch (W10046APB+S1CG)",$219.99,1.0 out of 5 stars
"Lenovo Flex 14 Convertible Laptop, 14 Inch FHD (1920 X 1080) IPS Touch Display, Intel Core I5-8265U Processor, 8GB DDR4 RAM, 128GB Nvme SSD, Intel UHD Graphics 615, Windows 10, 81SQ0009US, Onyx Black",$459.00,4.4 out of 5 stars
"2019 Lenovo 11.6"" HD IPS Touchscreen 2-in-1 Chromebook, Quad-Core MediaTek MT8173C (4C, 2X A72 + 2X A53), 4GB RAM, 32GB eMMC, 802.11ac WiFi, Bluetooth 4.2, HDMI, Type-C, Chrome OS",$228.79,4.3 out of 5 stars
"HP ENVY 13 Inch Thin Laptop w/ Fingerprint Reader, 4K Touchscreen, Intel Core i7-8565U, NVIDIA GeForce MX250 Graphics, 16GB SDRAM, 512GB SSD, Windows 10 Home (13-aq0044nr, Natural Silver)",$949.00,3.8 out of 5 stars
"Lenovo Thinkpad E590 15.6"" HD Business Laptop (Intel Quad Core i5-8265U, 16GB DDR4 Memory, 512GB PCIe 3.0(x4) NVMe SSD M.2 SSD) Type-C, HDMI, Ethernet, Webcam, Windows 10 Professional",$684.99,4.3 out of 5 stars
"New ! Dell Inspiron i3583 15.6"" HD Touch-Screen Laptop - Intel i5-8265U - 8GB DDR4-256GB SSD - Windows 10 - Wireless-AC - Bluetooth, SD Card Reader, HDMI & USB 3.1 -Waves MaxxAudio Pro- Black",$417.98,-1
"HP 2019 Newest 15 15.6 Inch HD Laptop (Intel Dual Core i3-7100U 2.4 GHz, 4GB RAM, 1TB HDD, Intel UHD Graphics 620, WiFi, HDMI, Bluetooth, Windows 10) (Silver)",$316.98,3.8 out of 5 stars
"2018 Acer 15.6"" HD WLED Chromebook 15 with 3X Faster WiFi Laptop Computer, Intel Celeron Core N3060 up to 2.48GHz, 4GB RAM, 16GB eMMC, 802.11ac WiFi, Bluetooth 4.2, USB 3.0, HDMI, Chrome OS",$195.97,4.0 out of 5 stars
"ASUS VivoBook 15.6"" FHD Laptop, 4 Cores up to 3.60GHz, 20GB RAM, 512GB SSD Business Notebook, A12 Processor, 1920x1080, USB Type-C, Ultra Thin, SD Card, HDMI, Wi-Fi, Bluetooth, Win 10",$449.48,-1
"Acer Spin 3 Convertible Laptop, 14 inches Full HD IPS Touch, 8th Gen Intel Core i7-8565U, 16GB DDR4, 512GB PCIe NVMe SSD, Backlit KB, Fingerprint Reader, Rechargeable Active Stylus, SP314-53N-77AJ",$709.99,4.3 out of 5 stars
"Bit CORE+ 11.6 Windows 10, 2 in 1 Detachable PC - with Bonus Full Function Bit Smart Watch (W11046APB+S1CG)",$259.99,3.0 out of 5 stars
"ASUS VivoBook Flip 14 Thin and Light 2-in-1 HD Touchscreen Laptop, Intel 2.6GHz Processor, 4GB RAM, 64GB Storage, Windows 10 in S Mode (Switchable to Win 10 Home), 1 Year Office 365 - J401MA-YS02",$338.79,3.8 out of 5 stars
"HP Pavilion 15.6 HD 2019 Newest Thin and Light Laptop Notebook Computer, Intel AMD A6-9225, 8GB RAM, 1TB HDD, Bluetooth, Webcam, DVD-RW, WiFi, Win 10",$0,3.7 out of 5 stars
"HP Premium 15.6-inch HD WLED-Backlit Display Laptop PC, Intel Dual Core i3-7100U 2.4GHz Processor, 4GB DDR4 SDRAM, 1TB HDD, Bluetooth, HDMI, Webcam, 802.11ac WiFi, Windows 10, Natural Silver",$339.00,4.8 out of 5 stars
"Acer High Performance 11.6inch HD Laptop, Intel Celeron Processor, 4GB RAM, 64GB Storage, Intel HD Graphics, Wifi, Bluetooth, HDMI, Win10 Pro (Renewed)",$159.99,4.1 out of 5 stars
"Lenovo Ideapad Premium 15.6"" Laptop Notebook Computer 2019 New, AMD A9-9425 Up to 3.7GHz, 8GB RAM, 1TB HDD, DVD-RW, Wi-Fi, Bluetooth, Webcam, USB 3.0, HDMI, Windows 10 W/ 29.9 Value Accessories Bundle",$302.40,3.4 out of 5 stars
"HP 15.6"" HD 2019 New Touch-Screen Laptop Notebook Computer, Intel Pentium Quad-Core N5000 (up to 2.7 GHz), 8GB DDR4, 1TB HDD, Bluetooth, Wi-Fi, HDMI, Webcam, Win 10",$355.00,3.7 out of 5 stars
"Microsoft Surface Laptop (Intel Core i5, 8GB RAM, 256GB) - Burgundy (Renewed)",$612.31,4.4 out of 5 stars
"Dell Inspiron 15 Intel Core i3-7130U 8GB 1TB HDD 15.6"" HD LED Windows 10 Laptop",$388.88,3.9 out of 5 stars
"Acer Chromebook R 11 Convertible Laptop, Celeron N3060, 11.6"" HD Touch, 4GB DDR3L, 32GB eMMC, C738T-C7KD",$209.99,3.9 out of 5 stars
"Beantech W11046ADB Laptop (Windows 10 Home, Intel Cherry Trail z8300, 11.6"" LCD Screen, Storage: 64 GB, RAM: 4 GB) Black",$219.99,2.2 out of 5 stars
"ASUS VivoBook 15 Thin and Light Laptop, 15.6” FHD, Intel Core i3-8145U CPU, 8GB RAM, 128GB SSD, Windows 10 in S Mode, F512FA-AB34, Slate Gray",$379.99,4.2 out of 5 stars
"LG gram Laptop - 15.6"" Full HD Display, Intel 8th Gen Core I5, 8GB RAM, 256GB SSD, 21.5 HRs Battery - 15Z990-U.AAS5U1 (2019), Dark Silver",$946.99,4.3 out of 5 stars
"Dell I3565-A453BLK-PUS Laptop (Windows 10 Home, AMD Dual-Core A6-9220, 15.6"" LCD Screen, Storage: 500 GB, RAM: 4 GB) Black",$299.00,2.9 out of 5 stars
"2020 Lenovo IdeaPad 14"" Laptop Computer, AMD A6-9220e 1.6GHz, 4GB Memory, 64GB eMMC Flash Memory, AMD Radeon R4, AC WiFi, Microsoft Office 365, 2 Year Warranty, Gray, Windows 10 Home",$199.99,-1
"Lenovo 130S, Premium 2019 Flagship 11.6"" HD Laptop, Intel Celeron Dual-Core N4000 up to 2.6GHz, 4GB DDR4, 64GB eMMC Flash Memory, Intel UHD Graphics 600 Bluetooth WiFi HD Webcam USB-C HDMI Win 10 S",$205.00,4.6 out of 5 stars
"Lenovo ideapad S340 15.6"" HD LED Backlit Anti-Glare Display Laptop, Intel Core i3-8145U 2.1GHz up to 3.9GHz, 8GB DDR4, 128GB NVMe SSD, Bluetooth, USB 3.1, HDMI, Webcam, Windows 10",$333.33,3.4 out of 5 stars
"HP 15.6"" HD Touch i7-8550U 4GHz 4GB DDR4 1TB HDD + 16GB Optane DVD Webcam Bluetooth HDMI Windows 10",$488.99,-1
"Lenovo Chromebook S330 Laptop, 14-Inch HD (1366 x 768) Display, MediaTek MT8173C Processor, 4GB OnBoard LPDDR3, 32GB eMMC SSD, Chrome OS, 81JW0001US, Black",$0,4.1 out of 5 stars
